bowler,balls_bowled,runs_conceded,wickets,dot_balls,wides,no_balls,matches_bowled,fours_conceded,sixes_conceded,economy_rate,bowling_average,bowling_sr,dot_ball_pct,wickets_per_match,economy_powerplay,economy_middle,economy_death,three_wicket_haul,five_wicket_haul
Mohammed Siraj,2505,3670,121,1121,115,8,116,363,157,8.79,30.33,20.7,44.75,1.04,8.21,8.37,10.33,11,0
SN Thakur,2190,3474,121,782,103,10,107,331,138,9.52,28.71,18.1,35.71,1.13,9.28,8.65,11.02,10,0
A Nehra,1908,2537,121,828,57,9,88,279,76,7.98,20.97,15.77,43.4,1.38,7.57,7.97,9.06,18,1
Z Khan,2200,2860,119,929,74,2,99,312,64,7.8,24.03,18.49,42.23,1.2,6.88,9.26,9.08,12,0
Arshdeep Singh,1931,2954,114,735,84,5,89,318,92,9.18,25.91,16.94,38.06,1.28,8.79,9.22,9.79,13,1
Kuldeep Yadav,2211,3043,113,690,38,2,103,155,164,8.26,26.93,19.57,31.21,1.1,7.67,8.29,8.54,13,0
CV Varun,2028,2619,109,776,28,6,89,180,119,7.75,24.03,18.61,38.26,1.22,7.88,7.43,9.41,10,1
SR Watson,2029,2742,107,850,95,13,105,293,74,8.11,25.63,18.96,41.89,1.02,7.19,7.6,10.35,12,0
CH Morris,1726,2377,107,708,70,5,81,222,79,8.26,22.21,16.13,41.02,1.32,7.81,8.26,8.83,12,1
KH Pandya,2571,3265,106,845,58,3,140,219,117,7.62,30.8,24.25,32.87,0.76,7.57,7.55,8.83,11,0
DW Steyn,2182,2583,105,1064,93,7,95,284,55,7.1,24.6,20.78,48.76,1.11,6.43,6.72,8.93,11,0
P Kumar,2524,3342,102,1147,112,1,119,338,104,7.94,32.76,24.75,45.44,0.86,6.88,9.33,10.44,6,0
RP Singh,1775,2417,100,790,86,13,82,254,70,8.17,24.17,17.75,44.51,1.22,7.38,8.74,9.55,12,1
I Sharma,2426,3465,100,1077,97,23,117,391,102,8.57,34.65,24.26,44.39,0.85,7.58,9.63,11.46,6,1
IK Pathan,2043,2711,99,885,69,1,101,293,82,7.96,27.38,20.64,43.32,0.98,7.21,8.14,9.56,8,0
Avesh Khan,1733,2672,99,638,51,4,80,266,109,9.25,26.99,17.51,36.81,1.24,9.35,8.22,10.07,12,0
PP Ojha,1899,2399,99,708,44,2,90,146,97,7.58,24.23,19.18,37.28,1.1,7.26,7.44,9.42,8,0
KK Ahmed,1672,2521,96,735,64,5,76,255,113,9.05,26.26,17.42,43.96,1.26,8.33,8.58,11.23,12,0
JA Morkel,1723,2409,96,683,71,13,87,264,56,8.39,25.09,17.95,39.64,1.1,8.62,7.15,9.64,10,0
M Prasidh Krishna,1678,2516,94,709,63,16,73,265,94,9.0,26.77,17.85,42.25,1.29,8.3,8.14,11.04,10,1
DL Chahar,1974,2708,92,866,72,5,98,311,81,8.23,29.43,21.46,43.87,0.94,8.0,8.47,10.08,7,1
DS Kulkarni,1787,2513,91,765,82,7,92,272,81,8.44,27.62,19.64,42.81,0.99,7.64,8.92,10.94,9,0
KV Sharma,1586,2263,89,540,25,0,87,125,132,8.56,25.43,17.82,34.05,1.02,7.0,8.79,10.88,9,1
Ravi Bishnoi,1796,2494,89,634,44,5,84,181,114,8.33,28.02,20.18,35.3,1.06,7.73,8.18,11.13,6,1
M Morkel,1629,2136,88,738,57,13,70,230,61,7.87,24.27,18.51,45.3,1.26,7.4,7.56,9.48,8,0
HH Pandya,1747,2732,87,630,62,5,113,243,123,9.38,31.4,20.08,36.06,0.77,9.5,8.58,12.49,9,1
Imran Tahir,1316,1729,86,451,23,1,59,97,83,7.88,20.1,15.3,34.27,1.46,8.04,7.7,8.61,13,0
L Balaji,1512,2083,85,582,58,4,73,188,69,8.27,24.51,17.79,38.49,1.16,7.05,7.68,10.52,8,1
PJ Cummins,1655,2463,83,640,50,1,73,228,101,8.93,29.67,19.94,38.67,1.14,8.74,7.9,10.79,8,0
R Bhatia,1636,2059,82,467,23,2,91,120,68,7.55,25.11,19.95,28.55,0.9,7.19,7.43,8.83,8,0
MM Patel,1355,1733,82,612,16,11,63,188,53,7.67,21.13,16.52,45.17,1.3,6.91,6.97,11.04,9,1
T Natarajan,1525,2317,82,493,63,1,71,206,90,9.12,28.26,18.6,32.33,1.15,8.34,8.53,10.36,9,0
AB Dinda,1516,2103,82,648,59,14,75,232,58,8.32,25.65,18.49,42.74,1.09,7.4,6.91,11.3,9,0
KA Pollard,1488,2200,81,422,90,8,107,169,78,8.87,27.16,18.37,28.36,0.76,7.65,8.49,11.43,3,0
MA Starc,1076,1588,78,460,45,3,50,174,45,8.86,20.36,13.79,42.75,1.56,8.96,7.65,9.28,12,1
JC Archer,1443,1934,77,677,34,6,61,177,83,8.04,25.12,18.74,46.92,1.26,6.78,7.52,10.23,8,0
JP Faulkner,1238,1849,76,440,44,5,60,160,67,8.96,24.33,16.29,35.54,1.27,7.93,8.76,10.33,9,2
RD Chahar,1695,2220,76,597,32,1,79,143,101,7.86,29.21,22.3,35.22,0.96,7.18,7.9,9.09,6,0
MJ McClenaghan,1274,1839,75,534,63,9,56,181,72,8.66,24.52,16.99,41.92,1.34,8.04,8.57,10.18,9,0
JH Kallis,1742,2348,74,640,48,9,89,236,58,8.09,31.73,23.54,36.74,0.83,7.53,7.8,10.02,4,0
Mustafizur Rahman,1365,1879,74,512,47,7,60,171,61,8.26,25.39,18.45,37.51,1.23,7.22,7.61,9.67,10,0
SK Trivedi,1506,1944,73,528,42,9,75,154,51,7.75,26.63,20.63,35.06,0.97,7.68,7.35,9.76,7,0
Shakib Al Hasan,1484,1864,71,523,31,0,70,120,78,7.54,26.25,20.9,35.24,1.01,7.08,7.44,10.22,3,0
M Muralitharan,1528,1765,67,643,51,2,66,105,67,6.93,26.34,22.81,42.08,1.02,6.23,6.86,8.75,5,0
MG Johnson,1235,1740,66,557,57,9,54,196,55,8.45,26.36,18.71,45.1,1.22,8.02,8.31,9.69,3,0
JR Hazlewood,992,1377,66,453,17,2,44,138,63,8.33,20.86,15.03,45.67,1.5,7.52,8.14,10.21,10,0
LH Ferguson,1059,1615,63,418,35,9,50,153,71,9.15,25.63,16.81,39.47,1.26,8.77,8.24,10.98,8,0
A Nortje,1126,1740,63,459,35,8,49,164,78,9.27,27.62,17.87,40.76,1.29,8.58,8.76,10.6,5,0
SM Curran,1255,2059,63,416,46,7,63,197,89,9.84,32.68,19.92,33.15,1.0,8.37,10.81,11.39,7,0
S Kaul,1209,1772,63,410,23,6,55,166,65,8.79,28.13,19.19,33.91,1.15,9.2,8.04,9.26,5,0
SK Warne,1194,1465,60,442,29,0,54,91,56,7.36,24.42,19.9,37.02,1.11,7.16,7.01,10.05,5,0
JO Holder,1044,1547,60,364,51,3,48,137,57,8.89,25.78,17.4,34.87,1.25,8.65,8.37,10.18,10,0
TU Deshpande,1065,1770,59,411,51,6,50,177,76,9.97,30.0,18.05,38.59,1.18,8.9,10.17,11.59,6,0
TG Southee,1206,1774,57,475,52,4,54,175,62,8.83,31.12,21.16,39.39,1.06,8.11,7.92,10.85,8,1
Noor Ahmad,987,1355,56,353,20,1,45,90,59,8.24,24.2,17.62,35.76,1.24,8.5,8.14,8.58,6,0
S Nadeem,1415,1800,54,469,25,4,70,114,73,7.63,33.33,26.2,33.14,0.77,7.63,7.39,12.0,2,0
M Pathirana,735,1047,53,293,51,1,32,72,39,8.55,19.75,13.87,39.86,1.66,,7.99,9.11,7,0
S Gopal,991,1358,53,326,8,1,51,77,74,8.22,25.62,18.7,32.9,1.04,7.33,8.56,7.58,5,0
NM Coulter-Nile,857,1125,52,387,26,9,38,123,34,7.88,21.63,16.48,45.16,1.37,7.24,7.34,9.56,8,0
Mukesh Kumar,817,1397,51,300,17,4,39,144,66,10.26,27.39,16.02,36.72,1.31,9.27,9.76,12.12,5,0
SB Jakati,1085,1474,50,355,14,2,57,97,60,8.15,29.48,21.7,32.72,0.88,7.26,8.09,12.68,3,0
A Kumble,965,1089,49,397,13,5,42,72,35,6.77,22.22,19.69,41.14,1.17,5.43,6.94,8.38,5,2
VG Arora,834,1321,49,333,25,9,39,142,53,9.5,26.96,17.02,39.93,1.26,8.81,12.15,10.25,3,0
S Aravind,760,1057,48,302,27,1,38,105,38,8.34,22.02,15.83,39.74,1.26,7.64,8.97,9.86,5,0
AJ Tye,685,1005,48,225,27,2,30,90,33,8.8,20.94,14.27,32.85,1.6,8.12,8.25,10.06,7,2
PWH de Silva,803,1134,47,281,5,0,37,65,70,8.47,24.13,17.09,34.99,1.27,7.87,8.58,8.32,3,1
RJ Harris,832,1085,47,390,32,1,37,119,27,7.82,23.09,17.7,46.88,1.27,6.84,8.08,9.41,7,0
YK Pathan,1147,1443,46,419,37,0,82,99,57,7.55,31.37,24.93,36.53,0.56,6.7,7.86,12.2,3,0
VR Aaron,994,1527,46,415,63,8,50,159,52,9.22,33.2,21.61,41.75,0.92,8.65,8.67,12.04,1,0
MC Henriques,950,1302,46,315,28,1,60,123,38,8.22,28.3,20.65,33.16,0.77,7.59,8.39,10.36,3,0
MM Ali,857,1036,46,305,11,1,57,43,57,7.25,22.52,18.63,35.59,0.81,5.5,7.6,6.6,4,0
MP Stoinis,909,1505,46,271,27,1,73,116,76,9.93,32.72,19.76,29.81,0.63,8.31,9.69,13.27,4,0
GJ Maxwell,1026,1422,45,341,21,0,85,79,80,8.32,31.6,22.8,33.24,0.53,8.21,8.36,8.54,0,0
Yash Dayal,883,1412,45,329,32,5,43,139,58,9.59,31.38,19.62,37.26,1.05,9.45,8.18,11.32,3,0
Iqbal Abdulla,920,1125,45,346,23,0,48,88,37,7.34,25.0,20.44,37.61,0.94,6.47,7.61,9.51,5,0
PJ Sangwan,856,1267,44,338,43,6,42,127,43,8.88,28.8,19.45,39.49,1.05,8.8,8.29,11.36,4,0
M Jansen,920,1442,43,374,29,7,42,130,67,9.4,33.53,21.4,40.65,1.02,9.07,9.44,10.57,3,0
P Awana,747,1046,43,307,23,4,33,107,35,8.4,24.33,17.37,41.1,1.3,8.17,7.13,11.22,4,0
DE Bollinger,576,716,43,270,22,2,27,73,19,7.46,16.65,13.4,46.88,1.59,7.48,6.29,7.66,6,0
S Sreesanth,880,1221,43,416,44,23,44,130,39,8.33,28.4,20.47,47.27,0.98,7.65,8.35,12.0,2,0
Harshit Rana,661,1047,42,272,16,2,32,99,56,9.5,24.93,15.74,41.15,1.31,9.43,9.28,9.99,4,0
Washington Sundar,1152,1498,42,392,8,2,66,99,69,7.8,35.67,27.43,34.03,0.64,8.08,7.34,11.48,4,0
R Sharma,928,1100,42,344,7,0,44,70,45,7.11,26.19,22.1,37.07,0.95,6.58,7.0,9.15,1,0
L Ngidi,520,747,40,205,16,2,22,65,34,8.62,18.68,13.0,39.42,1.82,7.99,8.53,9.4,7,0
DT Christian,883,1218,40,316,36,3,49,103,39,8.28,30.45,22.08,35.79,0.82,8.03,7.22,11.78,0,0
WD Parnell,723,968,40,312,29,6,33,102,24,8.03,24.2,18.08,43.15,1.21,7.9,7.78,8.51,5,0
MS Gony,888,1317,39,366,32,5,44,135,53,8.9,33.77,22.77,41.22,0.89,8.79,8.33,11.69,3,0
M Kartik,1149,1418,39,405,28,5,55,97,41,7.4,36.36,29.46,35.25,0.71,6.68,7.56,8.32,1,0
Yuvraj Singh,869,1091,39,269,12,1,73,59,41,7.53,27.97,22.28,30.96,0.53,6.6,7.54,8.69,5,0
DP Nannes,646,815,38,306,39,4,29,89,15,7.57,21.45,17.0,47.37,1.31,6.57,8.79,8.71,5,0
P Negi,716,954,38,249,17,0,42,57,47,7.99,25.11,18.84,34.78,0.9,7.25,8.02,10.19,3,0
MR Marsh,560,803,37,189,30,3,34,72,28,8.6,21.7,15.14,33.75,1.09,7.71,7.83,12.49,3,0
NLTC Perera,698,1031,37,238,14,3,36,113,28,8.86,27.86,18.86,34.1,1.03,7.28,8.41,11.49,5,0
M Markande,751,1157,37,224,16,1,40,78,66,9.24,31.27,20.3,29.83,0.92,8.27,9.46,9.2,3,0
KK Cooper,576,789,36,209,23,1,25,59,23,8.22,21.92,16.0,36.28,1.44,7.11,7.81,9.07,5,0
CJ Jordan,674,1111,36,225,38,5,34,96,46,9.89,30.86,18.72,33.38,1.06,9.48,7.88,12.22,5,0
Mohsin Khan,584,806,36,263,21,0,27,67,41,8.28,22.39,16.22,45.03,1.33,8.0,6.9,10.08,4,1
R Tewatia,843,1117,36,270,21,2,52,54,61,7.95,31.03,23.42,32.03,0.69,6.53,8.24,6.46,4,0
M Theekshana,895,1226,36,292,7,0,38,93,45,8.22,34.06,24.86,32.63,0.95,8.56,7.9,8.54,2,0
Harpreet Brar,837,1122,35,288,13,0,47,76,49,8.04,32.06,23.91,34.41,0.74,8.38,7.6,11.39,4,0
M Ashwin,870,1182,35,298,25,3,44,82,50,8.15,33.77,24.86,34.25,0.8,7.65,8.33,7.92,2,0
DL Vettori,777,894,34,283,8,0,34,67,24,6.9,26.29,22.85,36.42,1.0,5.92,6.79,9.1,3,1
MF Maharoof,420,532,33,177,16,5,20,46,16,7.6,16.12,12.73,42.14,1.65,7.55,6.35,9.79,5,0
AB Agarkar,782,1174,33,273,36,2,42,113,41,9.01,35.58,23.7,34.91,0.79,8.88,8.64,10.1,3,0
Shivam Mavi,649,958,33,267,32,6,32,92,38,8.86,29.03,19.67,41.14,1.03,8.13,7.73,11.41,1,0
R Sai Kishore,448,655,32,141,5,0,25,35,40,8.77,20.47,14.0,31.47,1.28,7.83,8.39,11.07,2,0
A Zampa,469,656,32,145,6,0,22,36,35,8.39,20.5,14.66,30.92,1.45,7.14,7.64,13.52,3,1
BA Stokes,689,1023,31,250,30,4,38,99,33,8.91,33.0,22.23,36.28,0.82,8.64,8.24,10.56,3,0
Harmeet Singh,549,747,31,213,21,4,28,69,22,8.16,24.1,17.71,38.8,1.11,8.74,7.82,8.67,3,0
CR Woakes,440,674,31,173,22,1,21,68,28,9.19,21.74,14.19,39.32,1.48,8.52,7.41,11.21,3,0
Umran Malik,494,785,31,218,22,3,26,93,29,9.53,25.32,15.94,44.13,1.19,12.92,8.66,10.75,4,2
A Singh,473,639,31,200,12,1,23,67,17,8.11,20.61,15.26,42.28,1.35,7.0,7.5,10.31,3,0
MJ Santner,700,870,31,261,3,1,35,74,28,7.46,28.06,22.58,37.29,0.89,8.27,7.02,8.8,1,0
Azhar Mahmood,537,707,31,206,10,5,23,73,18,7.9,22.81,17.32,38.36,1.35,6.76,7.09,9.96,5,0
B Lee,875,1126,30,400,28,13,38,123,25,7.72,37.53,29.17,45.71,0.79,7.12,7.19,9.06,1,0
SK Raina,908,1139,30,299,22,0,69,71,44,7.53,37.97,30.27,32.93,0.43,6.76,7.46,8.97,0,0
E Malinga,343,501,29,138,0,0,15,47,21,8.76,17.28,11.83,40.23,1.93,10.12,7.79,9.0,5,0
Yash Thakur,447,782,28,153,25,3,21,64,43,10.5,27.93,15.96,34.23,1.33,9.79,10.46,11.04,4,1
Vijaykumar Vyshak,471,797,28,149,11,1,22,62,43,10.15,28.46,16.82,31.63,1.27,11.33,9.12,12.0,3,0
AD Mathews,791,1095,28,237,15,1,44,98,29,8.31,39.11,28.25,29.96,0.64,8.43,8.09,8.88,2,0
STR Binny,594,763,28,204,16,1,63,76,14,7.71,27.25,21.21,34.34,0.44,7.41,7.59,10.14,1,0
PV Tambe,660,866,28,215,14,0,33,64,28,7.87,30.93,23.57,32.58,0.85,7.82,7.55,12.5,2,0
J Botha,694,818,27,268,15,0,34,60,24,7.07,30.3,25.7,38.62,0.79,7.57,6.54,8.57,2,0
DR Smith,539,825,27,179,14,4,46,75,33,9.18,30.56,19.96,33.21,0.59,10.22,8.51,12.88,2,0
R Dhawan,662,922,27,218,28,3,36,71,27,8.36,34.15,24.52,32.93,0.75,8.14,7.94,11.11,0,0
Naveen-ul-Haq,388,602,26,141,15,4,17,54,24,9.31,23.15,14.92,36.34,1.53,9.67,7.56,10.32,4,0
Navdeep Saini,671,1006,26,291,21,9,32,108,39,9.0,38.69,25.81,43.37,0.81,8.6,9.23,9.51,1,0
Akash Madhwal,359,598,26,119,10,7,17,55,25,9.99,23.0,13.81,33.15,1.53,7.79,10.97,10.29,5,1
Basil Thampi,521,862,26,163,17,1,25,75,41,9.93,33.15,20.04,31.29,1.04,9.24,9.03,11.81,2,0
SW Tait,473,668,26,222,52,9,21,71,12,8.47,25.69,18.19,46.93,1.24,8.12,9.03,8.67,4,0
Suyash Sharma,723,1043,26,255,5,1,34,87,46,8.66,40.12,27.81,35.27,0.76,8.0,8.77,8.05,4,0
Kartik Tyagi,592,985,25,223,28,8,27,97,44,9.98,39.4,23.68,37.67,0.93,10.97,9.14,10.2,1,0
RE van der Merwe,443,515,25,159,12,0,21,25,17,6.98,20.6,17.72,35.89,1.19,8.89,6.31,8.95,2,0
GB Hogg,458,585,25,170,7,1,21,40,21,7.66,23.4,18.32,37.12,1.19,6.54,7.76,8.4,2,0
Sohail Tanvir,247,275,24,130,17,1,11,27,7,6.68,11.46,10.29,52.63,2.18,6.61,6.0,6.88,6,1
A Kamboj,364,527,24,160,6,2,19,58,22,8.69,21.96,15.17,43.96,1.26,8.94,8.95,7.7,3,0
AS Rajpoot,530,844,24,214,28,9,29,89,31,9.55,35.17,22.08,40.38,0.83,9.19,8.61,12.27,2,1
BW Hilfenhaus,372,497,23,184,15,3,17,48,21,8.02,21.61,16.17,49.46,1.35,6.5,9.75,11.36,1,0
JP Duminy,678,847,23,242,23,0,49,53,33,7.5,36.83,29.48,35.69,0.47,7.32,7.27,11.17,1,0
A Symonds,527,694,23,206,12,1,30,44,33,7.9,30.17,22.91,39.09,0.77,6.19,8.09,11.77,1,0
Shahbaz Ahmed,599,969,22,165,10,2,46,65,53,9.71,44.05,27.23,27.55,0.48,9.9,9.72,8.28,2,0
WPUJC Vaas,282,364,22,134,4,2,13,40,13,7.74,16.55,12.82,47.52,1.69,6.39,9.5,12.0,3,0
AS Joseph,434,707,22,172,19,1,22,53,43,9.77,32.14,19.73,39.63,1.0,9.83,9.18,10.96,1,1
VY Mahesh,339,511,22,127,13,7,17,47,20,9.04,23.23,15.41,37.46,1.29,11.0,7.9,9.29,2,1
JP Behrendorff,366,563,22,146,13,0,17,55,26,9.23,25.59,16.64,39.89,1.29,8.43,9.46,12.88,3,0
K Gowtham,588,825,22,216,11,0,35,68,37,8.42,37.5,26.73,36.73,0.63,8.49,8.09,14.5,0,0
C Green,494,773,22,185,22,1,33,64,39,9.39,35.14,22.45,37.45,0.67,9.57,8.66,12.87,0,0
Bipul Sharma,426,581,22,139,10,0,28,28,31,8.18,26.41,19.36,32.63,0.79,7.08,8.02,19.5,0,0
KW Richardson,335,479,21,136,10,0,15,40,23,8.58,22.81,15.95,40.6,1.4,6.9,9.33,11.26,1,0
RP Meredith,388,621,21,156,25,2,18,63,26,9.6,29.57,18.48,40.21,1.17,8.42,8.97,12.0,1,0
Prince Yadav,337,476,21,139,0,0,14,49,17,8.47,22.67,16.05,41.25,1.5,7.59,7.48,10.82,3,0
Mujeeb Ur Rahman,447,626,21,157,18,0,20,42,26,8.4,29.81,21.29,35.12,1.05,7.97,7.99,11.88,1,0
Anureet Singh,412,636,21,152,11,7,22,65,22,9.26,30.29,19.62,36.89,0.95,7.66,9.9,11.04,2,0
BB Sran,483,767,20,175,30,3,24,73,29,9.53,38.35,24.15,36.23,0.83,9.25,9.86,9.65,1,0
C Sakariya,445,649,20,155,29,5,20,53,23,8.75,32.45,22.25,34.83,1.0,6.84,9.33,11.65,2,0
J Suchith,420,604,20,142,14,0,21,47,26,8.63,30.2,21.0,33.81,0.95,8.05,8.7,13.5,0,0
Mukesh Choudhary,354,576,20,152,18,1,18,67,24,9.76,28.8,17.7,42.94,1.11,9.02,10.38,13.18,3,0
NT Ellis,379,553,20,125,8,3,17,46,21,8.75,27.65,18.95,32.98,1.18,6.74,8.48,11.42,2,0
IC Pandey,462,609,19,223,5,2,24,77,17,7.91,32.05,24.32,48.27,0.79,7.75,7.43,12.5,0,0
CH Gayle,554,755,19,196,27,3,38,49,27,8.18,39.74,29.16,35.38,0.5,8.45,7.6,9.49,1,0
A Ashish Reddy,262,400,19,83,6,2,20,26,20,9.16,21.05,13.79,31.68,0.95,15.0,8.28,10.39,1,0
AD Mascarenhas,308,365,19,130,2,0,13,34,8,7.11,19.21,16.21,42.21,1.46,7.22,6.47,10.29,2,1
CRD Fernando,234,306,19,107,11,4,10,30,9,7.85,16.11,12.32,45.73,1.9,7.14,6.62,10.0,2,1
BJ Hodge,234,310,18,79,4,0,20,17,14,7.95,17.22,13.0,33.76,0.9,9.11,7.48,11.0,2,1
R Rampaul,268,319,17,137,8,2,12,25,14,7.14,18.76,15.76,51.12,1.42,6.28,6.38,11.22,1,0
Ashwani Kumar,183,295,17,71,0,0,9,27,16,9.67,17.35,10.76,38.8,1.89,10.86,7.45,12.94,2,0
LR Shukla,314,458,17,117,10,2,27,39,16,8.75,26.94,18.47,37.26,0.63,9.63,8.3,9.69,2,0
DS Rathi,469,661,17,147,0,0,19,52,25,8.46,38.88,27.59,31.34,0.89,8.03,8.06,10.52,0,0
D Wiese,296,447,17,86,10,1,15,47,11,9.06,26.29,17.41,29.05,1.13,8.12,9.48,9.6,2,0
Rasikh Salam,331,549,17,107,10,2,18,48,28,9.95,32.29,19.47,32.33,0.94,8.95,10.64,10.12,3,0
ST Jayasuriya,294,396,16,86,7,0,21,22,16,8.08,24.75,18.38,29.25,0.76,11.5,7.45,10.71,3,0
CR Brathwaite,254,384,16,78,9,3,16,37,12,9.07,24.0,15.88,30.71,1.0,6.0,9.34,10.5,2,0
AC Thomas,315,416,16,133,10,2,15,41,11,7.92,26.0,19.69,42.22,1.07,6.53,8.83,10.12,1,0
RG Sharma,339,462,16,94,10,0,32,29,14,8.18,28.88,21.19,27.73,0.5,7.62,8.07,10.4,2,0
VRV Singh,360,549,16,121,7,4,18,58,16,9.15,34.31,22.5,33.61,0.89,9.67,8.82,9.24,2,0
N Burger,289,468,16,138,3,0,14,44,24,9.72,29.25,18.06,47.75,1.14,10.04,9.84,8.3,0,0
G Coetzee,277,490,15,106,14,1,14,41,26,10.61,32.67,18.47,38.27,1.07,10.91,10.76,10.11,2,0
DR Sams,360,528,15,144,27,2,16,41,25,8.8,35.2,24.0,40.0,0.94,7.15,10.42,11.75,2,0
YA Abdulla,209,311,15,92,12,1,11,32,13,8.93,20.73,13.93,44.02,1.36,6.82,10.67,11.21,3,0
SJ Srivastava,282,444,15,106,23,1,14,50,13,9.45,29.6,18.8,37.59,1.07,9.59,8.5,11.43,0,0
Mohammad Nabi,417,527,15,153,2,0,23,33,26,7.58,35.13,27.8,36.69,0.65,6.45,8.5,10.0,1,0
R Shepherd,292,591,15,89,7,0,22,42,43,12.14,39.4,19.47,30.48,0.68,7.8,11.87,14.7,2,0
RR Powar,426,538,15,174,16,1,26,41,18,7.58,35.87,28.4,40.85,0.58,7.27,7.72,10.0,0,0
AN Ahmed,344,515,15,131,13,5,17,43,20,8.98,34.33,22.93,38.08,0.88,8.08,8.13,12.0,1,0
KA Jamieson,280,460,15,114,8,3,14,44,26,9.86,30.67,18.67,40.71,1.07,9.34,8.73,13.47,2,0
PVD Chameera,405,658,15,165,13,2,20,67,31,9.75,43.87,27.0,40.74,0.75,9.56,8.05,11.58,1,0
Umar Gul,135,198,14,59,12,6,6,17,5,8.8,14.14,9.64,43.7,2.33,6.43,8.78,11.38,2,0
Kamran Khan,166,248,14,71,10,1,9,25,10,8.96,17.71,11.86,42.77,1.56,9.33,7.0,10.41,2,0
GD McGrath,324,366,14,162,4,1,14,41,10,6.78,26.14,23.14,50.0,1.0,5.97,7.0,9.45,1,0
S Lamichhane,210,297,14,77,1,0,9,21,17,8.49,21.21,15.0,36.67,1.56,8.29,8.1,19.0,2,0
AB McDonald,186,263,14,52,2,0,10,20,11,8.48,18.79,13.29,27.96,1.4,8.8,7.75,10.2,2,0
Arshad Khan,296,546,14,119,19,0,19,60,27,11.07,39.0,21.14,40.2,0.74,10.08,11.17,13.91,1,0
V Nigam,289,444,14,97,0,0,17,30,25,9.22,31.71,20.64,33.56,0.82,8.74,10.07,5.69,0,0
Karanveer Singh,204,323,14,66,9,0,9,19,19,9.5,23.07,14.57,32.35,1.56,8.67,9.32,12.67,2,0
R McLaren,354,558,14,128,15,3,18,69,11,9.46,39.86,25.29,36.16,0.78,8.61,9.58,11.25,1,0
JR Hopes,360,562,14,119,9,0,20,44,28,9.37,40.14,25.71,33.06,0.7,6.29,9.18,11.43,0,0
